year,player,assists
"Adoption, Respondents, Zapata","Most executives are already considering quantum computing, the new Zapata report",3
"Adoption, Respondents, Zapata",No Event Cluster,20
"Adoption, Respondents, Zapata",Report: 69% of companies adopt quantum computing,15
"Andrea Morello, Silicon, University of New South Wales",No Event Cluster,49
"Andrea Morello, Silicon, University of New South Wales",Quantum Computing In Silicon Reaches 99 Percent Accuracy In Major Breakthrough,35
"Azure, Microsoft",Microsoft adds Rigetti quantum computers to Azure Quantum service,5
"Azure, Microsoft",Microsoft and KPMG are working on these quantum cloud projects for business,8
"Azure, Microsoft",Microsoft is partnering with NASA to bring quantum computing into space,13
"Azure, Microsoft",No Event Cluster,25
"Azure, Microsoft",QIR Alliance Serves as Common Interface for Quantum Computing Development,5
"Azure, Microsoft",Will quantum computing continue to be the realm of specialist VCs? – TechCrunch,3
"Bitcoin, Blockchain, Crypto","Bitcoin encryption could be broken by futuristic quantum computers, researchers predict",7
"Bitcoin, Blockchain, Crypto","Cardano Begins Work on Becoming Resistant to Quantum Attacks, According to Creator Charles Hoskinson",3
"Bitcoin, Blockchain, Crypto",Cryptocurrencies face quantum computing problems,3
"Bitcoin, Blockchain, Crypto",No Event Cluster,70
"Bitcoin, Blockchain, Crypto",QANplatform launches world’s first quantum-resistant ETH-compatible L1 testnet,3
"Bitcoin, Blockchain, Crypto",Quantum computers are a million times too small to hack bitcoin,6
"Bitcoin, Blockchain, Crypto",Quantum computers could break Bitcoin security by the 2030s,7
"Bitcoin, Blockchain, Crypto",Quantum-safe IBM z16 does AI at scale,8
"Bitcoin, Blockchain, Crypto","Without quantum security, our blockchain future is uncertain",5
"Bromont, Canada, Quebec-IBM Discovery Accelerator",IBM partners with Quebec government to install first quantum computer in Canada,20
"Bromont, Canada, Quebec-IBM Discovery Accelerator",No Event Cluster,12
"Byoung-Hoon Kim, LG Electronics, Qiskit",Fujitsu plans to provide on-demand access to the world's fastest supercomputer,4
"Byoung-Hoon Kim, LG Electronics, Qiskit",LG Electronics joins IBM’s Quantum Network,20
"Byoung-Hoon Kim, LG Electronics, Qiskit",No Event Cluster,27
"Cambridge, Honeywell, Quantinuum",Cambridge Quantum and Honeywell Quantum Solutions merge into Quantinuum,28
"Cambridge, Honeywell, Quantinuum",Cambridge Quantum Releases Natural Language Processing Toolkit and Library,7
"Cambridge, Honeywell, Quantinuum",No Event Cluster,59
"Cambridge, Honeywell, Quantinuum",Quantum computing heavyweight arrives as merger creates Quantinuum,4
"Chinese Academy, Superconducting, World's Fastest existing Supercomputer",BMBF Invests 16 Million Euros in Photonic Quantum Computing,3
"Chinese Academy, Superconducting, World's Fastest existing Supercomputer",China builds world's first programmable quantum computers that outperform 'classical' computers,7
"Chinese Academy, Superconducting, World's Fastest existing Supercomputer",China Reveals World's Fastest Quantum Computers,13
"Chinese Academy, Superconducting, World's Fastest existing Supercomputer",Irish agency leads European quantum technology event,3
"Chinese Academy, Superconducting, World's Fastest existing Supercomputer",No Event Cluster,69
"Chinese Academy, Superconducting, World's Fastest existing Supercomputer",Research team chases superiority in quantum racing,4
"Chinese, Commerce, Military",China's quantum leap forward: decrypting hidden security risks,3
"Chinese, Commerce, Military","Hackers could steal encrypted data now and crack it with quantum computers later, warns analysts",9
"Chinese, Commerce, Military",Ministry of Commerce Establishes Industrial Advisory Board for Microelectronics,3
"Chinese, Commerce, Military",No Event Cluster,54
"Chinese, Commerce, Military",Officials warn 5 key tech sectors will determine whether China overtakes U.S. as superpower,3
"Chinese, Commerce, Military",The quantum computing race between the U.S. and China on security,3
"Chinese, Commerce, Military",The U.S Has Blacklisted These Chinese Quantum Computing Firms,43
"Chinese, Commerce, Military",US blacklists Chinese quantum computing companies over national security concerns,3
"Chinese, Commerce, Military","US warns companies, universities about risks of working with Chinese entities",3
"Forecast Period, Players, Region",No Event Cluster,110
"Forecast Period, Players, Region","Quantum Computing Market larger companies list: D-Wave Solutions, IBM, Google, Microsoft, Rigetti Computing, Intel, Origin Quantum Computing Technology, Anyon Systems Inc., Cambridge Quantum Computing Limited,",3
"Graphics processing Units, NVIDIA, Supercomputer",Meta unveils new AI supercomputer destined to be world's fastest,15
"Graphics processing Units, NVIDIA, Supercomputer",Microsoft is already thinking about holographic quantum Xbox for 2042,6
"Graphics processing Units, NVIDIA, Supercomputer",No Event Cluster,49
"Graphics processing Units, NVIDIA, Supercomputer",NVidia debuts advanced enterprise AI infrastructure,4
"Graphics processing Units, NVIDIA, Supercomputer",NVIDIA Q3 Revenue Up 9% to $7.10B with $2.5B Profit,3
"Graphics processing Units, NVIDIA, Supercomputer",NVIDIA Quantum-2 supercomputing infiniBand networking platform introduced,38
"Graphics processing Units, NVIDIA, Supercomputer",SMU Launches Powerful New Supercomputing Research System with NVIDIA,5
"Grid, Israel, Orchestration",No Event Cluster,14
"Grid, Israel, Orchestration",Qualcomm Ventures Invests in Quantum Machines,3
"India, Military College",Army Gen Naravane On 5 Day Israel Visit,6
"India, Military College",Indian Army sets up Quantum Laboratory in Madhya Pradesh,7
"India, Military College",Israel's first quantum computer developed at Weizmann Institute,4
"India, Military College",Japan's Softbank buys $25m stake in Israeli investment firm OurCrowd,4
"India, Military College",No Event Cluster,40
"India, Military College",Quantum computing improves air mobility traffic control,5
"Lakestar, Series A Financing Round, Terra",Microsoft buys Activision Blizzard for $ 68.7 billion in full cash transaction – TechCrunch,3
"Lakestar, Series A Financing Round, Terra",No Event Cluster,6
"Lakestar, Series A Financing Round, Terra",Terra Quantum raises $60M for its Quantum-as-a-Service platform,10
"Matter, Senior Author",A-List Quantum Computing Candidate Delivers Surprising Results,3
"Matter, Senior Author",Alphabet to spin out quantum company after Google’s time crystal breakthrough,3
"Matter, Senior Author",EM – A new strategy for detecting non-compliant particles called anyons,3
"Matter, Senior Author",Exotic New Material Could Combine Two Superconductors for Serious Quantum Computing Applications,5
"Matter, Senior Author",Green information technologies: Superconductivity meets spintronics,3
"Matter, Senior Author",Machine learning models quantum devices,4
"Matter, Senior Author",Magnetic surprise revealed in 'magic-angle' graphene,3
"Matter, Senior Author",Measuring quantum computer’s power just got faster and more accurate,6
"Matter, Senior Author",Munich’s Black Quants € 100 Million Quantum Technology Fund – Tech.eu,4
"Matter, Senior Author",No Event Cluster,87
"Matter, Senior Author",Open source RF control system enhances quantum computers,3
